"SampleID","Sample","Analyte","spiked_concentration","Estimated_C0","Estimated_C0_error","total_concentration","intensity","predicted_baseline","predicted_proposed","error_baseline","error_proposed","abs_error_baseline","abs_error_proposed"
"250402_190114.mea","s4","anisole",30,0,0,30,1686.15868094906,16.6870040205053,29.7022701259441,-13.3129959794947,-0.297729874055857,13.3129959794947,0.297729874055857
"250318_163632.mea","pool","heptanone",0,2.94,1.611,2.94,356.800040191365,1.98093914541688,2.43037540035733,-0.95906085458312,-0.509624599642669,0.95906085458312,0.509624599642669
"250320_030407.mea","pool","heptanone",0,2.94,1.611,2.94,441.514126582593,2.4893376983499,3.05411961758094,-0.450662301650104,0.114119617580945,0.450662301650104,0.114119617580945
"250320_162726.mea","pool","heptanone",0,2.94,1.611,2.94,415.834225290131,2.33352961075952,2.86296172960016,-0.606470389240476,-0.0770382703998442,0.606470389240476,0.0770382703998442
"250327_130210.mea","pool","heptanone",0,2.94,1.611,2.94,522.137899977374,2.98865766095431,3.66672549032002,0.0486576609543068,0.726725490320019,0.0486576609543068,0.726725490320019
"250318_184633.mea","pool","heptanone",5,2.94,1.611,7.94,952.594496004006,5.96736755517969,7.32124626067052,-1.97263244482031,-0.618753739329478,1.97263244482031,0.618753739329478
"250320_051407.mea","pool","heptanone",5,2.94,1.611,7.94,1078.48415524108,6.96205247128177,8.54160568301524,-0.977947528718232,0.601605683015238,0.977947528718232,0.601605683015238
"250320_183727.mea","pool","heptanone",5,2.94,1.611,7.94,1030.72276315874,6.57685661665438,8.06901644090149,-1.36314338334562,0.129016440901486,1.36314338334562,0.129016440901486
"250326_213440.mea","pool","heptanone",5,2.94,1.611,7.94,1003.31183410743,6.36009026556817,7.80307005455035,-1.57990973443183,-0.136929945449653,1.57990973443183,0.136929945449653
"250318_153132.mea","pool","heptanone",7.5,2.94,1.611,10.44,1134.27067588641,7.42519349172043,9.10982432091471,-3.01480650827957,-1.33017567908529,3.01480650827957,1.33017567908529
"250320_015906.mea","pool","heptanone",7.5,2.94,1.611,10.44,1276.89202096596,8.68021055345084,10.6495801488084,-1.75978944654916,0.209580148808364,1.75978944654916,0.209580148808364
"250320_152224.mea","pool","heptanone",7.5,2.94,1.611,10.44,1346.23613987012,9.33163191087939,11.4487962408446,-1.10836808912061,1.00879624084463,1.10836808912061,1.00879624084463
"250326_202940.mea","pool","heptanone",7.5,2.94,1.611,10.44,1210.47489070205,8.08237544458538,9.91610797455297,-2.35762455541462,-0.523892025447033,2.35762455541462,0.523892025447033
